"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"84159","Åland Islands","2018","Total","Both Sexes","86","Estimate - de jure","Final figure, complete","2019","120","1"
"84160","Åland Islands","2018","Total","Both Sexes","87","Estimate - de jure","Final figure, complete","2019","88.5","1"
"84161","Åland Islands","2018","Total","Both Sexes","88","Estimate - de jure","Final figure, complete","2019","79","1"
"84162","Åland Islands","2018","Total","Both Sexes","89","Estimate - de jure","Final figure, complete","2019","75","1"
"84163","Åland Islands","2018","Total","Both Sexes","90","Estimate - de jure","Final figure, complete","2019","65.5","1"
"84165","Åland Islands","2018","Total","Both Sexes","91","Estimate - de jure","Final figure, complete","2019","63.5","1"
"84166","Åland Islands","2018","Total","Both Sexes","92","Estimate - de jure","Final figure, complete","2019","49.5","1"
"84167","Åland Islands","2018","Total","Both Sexes","93","Estimate - de jure","Final figure, complete","2019","39.5","1"
"84168","Åland Islands","2018","Total","Both Sexes","94","Estimate - de jure","Final figure, complete","2019","28.5","1"
"84169","Åland Islands","2018","Total","Both Sexes","95","Estimate - de jure","Final figure, complete","2019","19","1"
"84171","Åland Islands","2018","Total","Both Sexes","96","Estimate - de jure","Final figure, complete","2019","12","1"
"84172","Åland Islands","2018","Total","Both Sexes","97","Estimate - de jure","Final figure, complete","2019","12.5","1"
"84173","Åland Islands","2018","Total","Both Sexes","98","Estimate - de jure","Final figure, complete","2019","10.5","1"
"84174","Åland Islands","2018","Total","Both Sexes","99","Estimate - de jure","Final figure, complete","2019","5.5","1"
"753","Algeria","2008","Total","Both Sexes","0","Census - de jure - complete tabulation","Final figure, complete","2014","761979.26756233","3"
"755","Algeria","2008","Total","Both Sexes","1","Census - de jure - complete tabulation","Final figure, complete","2014","709216.390997304","3"
"756","Algeria","2008","Total","Both Sexes","2","Census - de jure - complete tabulation","Final figure, complete","2014","662691.180167828","3"
"757","Algeria","2008","Total","Both Sexes","3","Census - de jure - complete tabulation","Final figure, complete","2014","649704.112024685","3"
"758","Algeria","2008","Total","Both Sexes","4","Census - de jure - complete tabulation","Final figure, complete","2014","621327.447855968","3"
"759","Algeria","2008","Total","Both Sexes","5","Census - de jure - complete tabulation","Final figure, complete","2014","598735.004074199","3"
"761","Algeria","2008","Total","Both Sexes","6","Census - de jure - complete tabulation","Final figure, complete","2014","585712.991553719","3"
"762","Algeria","2008","Total","Both Sexes","7","Census - de jure - complete tabulation","Final figure, complete","2014","567072.885911499","3"
"763","Algeria","2008","Total","Both Sexes","8","Census - de jure - complete tabulation","Final figure, complete","2014","563940.370898528","3"
"764","Algeria","2008","Total","Both Sexes","9","Census - de jure - complete tabulation","Final figure, complete","2014","572914.736868574","3"
"765","Algeria","2008","Total","Both Sexes","10","Census - de jure - complete tabulation","Final figure, complete","2014","592848.397999132","3"
"767","Algeria","2008","Total","Both Sexes","11","Census - de jure - complete tabulation","Final figure, complete","2014","604898.332074928","3"
"768","Algeria","2008","Total","Both Sexes","12","Census - de jure - complete tabulation","Final figure, complete","2014","639315.562994182","3"
"769","Algeria","2008","Total","Both Sexes","13","Census - de jure - complete tabulation","Final figure, complete","2014","715089.2743946","3"
"770","Algeria","2008","Total","Both Sexes","14","Census - de jure - complete tabulation","Final figure, complete","2014","706620.939538714","3"
"771","Algeria","2008","Total","Both Sexes","15","Census - de jure - complete tabulation","Final figure, complete","2014","742346.034992705","3"
"773","Algeria","2008","Total","Both Sexes","16","Census - de jure - complete tabulation","Final figure, complete","2014","715468.646097054","3"
"774","Algeria","2008","Total","Both Sexes","17","Census - de jure - complete tabulation","Final figure, complete","2014","724790.810647152","3"
"775","Algeria","2008","Total","Both Sexes","18","Census - de jure - complete tabulation","Final figure, complete","2014","717831.296625236","3"
"776","Algeria","2008","Total","Both Sexes","19","Census - de jure - complete tabulation","Final figure, complete","2014","734734.697179156","3"
"777","Algeria","2008","Total","Both Sexes","20","Census - de jure - complete tabulation","Final figure, complete","2014","746175.349732081","3"
"779","Algeria","2008","Total","Both Sexes","21","Census - de jure - complete tabulation","Final figure, complete","2014","730532.304632788","3"
"780","Algeria","2008","Total","Both Sexes","22","Census - de jure - complete tabulation","Final figure, complete","2014","752999.620411211","3"
"781","Algeria","2008","Total","Both Sexes","23","Census - de jure - complete tabulation","Final figure, complete","2014","779169.629862642","3"
"782","Algeria","2008","Total","Both Sexes","24","Census - de jure - complete tabulation","Final figure, complete","2014","754626.737012341","3"
"783","Algeria","2008","Total","Both Sexes","25","Census - de jure - complete tabulation","Final figure, complete","2014","736442.336305764","3"
"785","Algeria","2008","Total","Both Sexes","26","Census - de jure - complete tabulation","Final figure, complete","2014","703787.561167983","3"
"786","Algeria","2008","Total","Both Sexes","27","Census - de jure - complete tabulation","Final figure, complete","2014","695610.608610637","3"
"787","Algeria","2008","Total","Both Sexes","28","Census - de jure - complete tabulation","Final figure, complete","2014","661492.880284344","3"
"788","Algeria","2008","Total","Both Sexes","29","Census - de jure - complete tabulation","Final figure, complete","2014","625043.220399674","3"
"789","Algeria","2008","Total","Both Sexes","30","Census - de jure - complete tabulation","Final figure, complete","2014","597494.212670489","3"
"791","Algeria","2008","Total","Both Sexes","31","Census - de jure - complete tabulation","Final figure, complete","2014","562689.114246758","3"
"792","Algeria","2008","Total","Both Sexes","32","Census - de jure - complete tabulation","Final figure, complete","2014","555925.803395944","3"
"793","Algeria","2008","Total","Both Sexes","33","Census - de jure - complete tabulation","Final figure, complete","2014","519234.254133896","3"
"794","Algeria","2008","Total","Both Sexes","34","Census - de jure - complete tabulation","Final figure, complete","2014","505652.197457192","3"
"795","Algeria","2008","Total","Both Sexes","35","Census - de jure - complete tabulation","Final figure, complete","2014","508689.024123934","3"
"797","Algeria","2008","Total","Both Sexes","36","Census - de jure - complete tabulation","Final figure, complete","2014","469510.987438812","3"
"798","Algeria","2008","Total","Both Sexes","37","Census - de jure - complete tabulation","Final figure, complete","2014","492012.086813132","3"
"799","Algeria","2008","Total","Both Sexes","38","Census - de jure - complete tabulation","Final figure, complete","2014","454417.563267554","3"
"800","Algeria","2008","Total","Both Sexes","39","Census - de jure - complete tabulation","Final figure, complete","2014","418149.696199745","3"
"801","Algeria","2008","Total","Both Sexes","40","Census - de jure - complete tabulation","Final figure, complete","2014","407461.726710547","3"
"803","Algeria","2008","Total","Both Sexes","41","Census - de jure - complete tabulation","Final figure, complete","2014","410485.550604749","3"
"804","Algeria","2008","Total","Both Sexes","42","Census - de jure - complete tabulation","Final figure, complete","2014","394858.405816998","3"
"805","Algeria","2008","Total","Both Sexes","43","Census - de jure - complete tabulation","Final figure, complete","2014","401517.29269102","3"
"806","Algeria","2008","Total","Both Sexes","44","Census - de jure - complete tabulation","Final figure, complete","2014","404004.063301627","3"
"807","Algeria","2008","Total","Both Sexes","45","Census - de jure - complete tabulation","Final figure, complete","2014","375103.273793809","3"
"809","Algeria","2008","Total","Both Sexes","46","Census - de jure - complete tabulation","Final figure, complete","2014","306651.581404691","3"
"810","Algeria","2008","Total","Both Sexes","47","Census - de jure - complete tabulation","Final figure, complete","2014","335858.123952774","3"
"811","Algeria","2008","Total","Both Sexes","48","Census - de jure - complete tabulation","Final figure, complete","2014","316729.573790603","3"
"812","Algeria","2008","Total","Both Sexes","49","Census - de jure - complete tabulation","Final figure, complete","2014","295093.883353896","3"
"813","Algeria","2008","Total","Both Sexes","50","Census - de jure - complete tabulation","Final figure, complete","2014","278136.798835194","3"
"815","Algeria","2008","Total","Both Sexes","51","Census - de jure - complete tabulation","Final figure, complete","2014","246643.346696034","3"
"816","Algeria","2008","Total","Both Sexes","52","Census - de jure - complete tabulation","Final figure, complete","2014","274580.102555476","3"
"817","Algeria","2008","Total","Both Sexes","53","Census - de jure - complete tabulation","Final figure, complete","2014","287504.598521531","3"
"818","Algeria","2008","Total","Both Sexes","54","Census - de jure - complete tabulation","Final figure, complete","2014","259829.828587982","3"
"819","Algeria","2008","Total","Both Sexes","55","Census - de jure - complete tabulation","Final figure, complete","2014","251594.372164761","3"
"821","Algeria","2008","Total","Both Sexes","56","Census - de jure - complete tabulation","Final figure, complete","2014","223277.827459257","3"
"822","Algeria","2008","Total","Both Sexes","57","Census - de jure - complete tabulation","Final figure, complete","2014","230370.424744127","3"
"823","Algeria","2008","Total","Both Sexes","58","Census - de jure - complete tabulation","Final figure, complete","2014","181043.625283367","3"
"824","Algeria","2008","Total","Both Sexes","59","Census - de jure - complete tabulation","Final figure, complete","2014","176291.363591123","3"
"825","Algeria","2008","Total","Both Sexes","60","Census - de jure - complete tabulation","Final figure, complete","2014","176668.46975487","3"
"827","Algeria","2008","Total","Both Sexes","61","Census - de jure - complete tabulation","Final figure, complete","2014","149516.75123841","3"
"828","Algeria","2008","Total","Both Sexes","62","Census - de jure - complete tabulation","Final figure, complete","2014","118751.920614278","3"
"829","Algeria","2008","Total","Both Sexes","63","Census - de jure - complete tabulation","Final figure, complete","2014","136980.593217726","3"
"830","Algeria","2008","Total","Both Sexes","64","Census - de jure - complete tabulation","Final figure, complete","2014","129563.884710089","3"
"831","Algeria","2008","Total","Both Sexes","65","Census - de jure - complete tabulation","Final figure, complete","2014","137373.092490957","3"
"833","Algeria","2008","Total","Both Sexes","66","Census - de jure - complete tabulation","Final figure, complete","2014","120840.897693981","3"
"834","Algeria","2008","Total","Both Sexes","67","Census - de jure - complete tabulation","Final figure, complete","2014","136792.350466011","3"
"835","Algeria","2008","Total","Both Sexes","68","Census - de jure - complete tabulation","Final figure, complete","2014","122341.114480438","3"
"836","Algeria","2008","Total","Both Sexes","69","Census - de jure - complete tabulation","Final figure, complete","2014","113955.662270323","3"
"837","Algeria","2008","Total","Both Sexes","70","Census - de jure - complete tabulation","Final figure, complete","2014","103792.306882507","3"
"839","Algeria","2008","Total","Both Sexes","71","Census - de jure - complete tabulation","Final figure, complete","2014","108481.673878584","3"
"840","Algeria","2008","Total","Both Sexes","72","Census - de jure - complete tabulation","Final figure, complete","2014","108994.934374527","3"
"841","Algeria","2008","Total","Both Sexes","73","Census - de jure - complete tabulation","Final figure, complete","2014","93756.0276823358","3"
"842","Algeria","2008","Total","Both Sexes","74","Census - de jure - complete tabulation","Final figure, complete","2014","89900.7126060116","3"
"843","Algeria","2008","Total","Both Sexes","75","Census - de jure - complete tabulation","Final figure, complete","2014","88589.0091526124","3"
"845","Algeria","2008","Total","Both Sexes","76","Census - de jure - complete tabulation","Final figure, complete","2014","70181.9783667105","3"
"846","Algeria","2008","Total","Both Sexes","77","Census - de jure - complete tabulation","Final figure, complete","2014","88589.3008269642","3"
"847","Algeria","2008","Total","Both Sexes","78","Census - de jure - complete tabulation","Final figure, complete","2014","59252.1627925262","3"
"848","Algeria","2008","Total","Both Sexes","79","Census - de jure - complete tabulation","Final figure, complete","2014","57230.1740731426","3"
"849","Algeria","2008","Total","Both Sexes","80","Census - de jure - complete tabulation","Final figure, complete","2014","45879.4513587091","3"
"851","Algeria","2008","Total","Both Sexes","81","Census - de jure - complete tabulation","Final figure, complete","2014","41083.2026809586","3"
"852","Algeria","2008","Total","Both Sexes","82","Census - de jure - complete tabulation","Final figure, complete","2014","39293.6888509544","3"
"853","Algeria","2008","Total","Both Sexes","83","Census - de jure - complete tabulation","Final figure, complete","2014","33402.1069310036","3"
"854","Algeria","2008","Total","Both Sexes","84","Census - de jure - complete tabulation","Final figure, complete","2014","27471.1185954011","3"
"855","Algeria","2008","Total","Both Sexes","85","Census - de jure - complete tabulation","Final figure, complete","2014","24650.1347160739","3"
"858","Algeria","2008","Total","Both Sexes","86","Census - de jure - complete tabulation","Final figure, complete","2014","16622.4383112627","3"
"859","Algeria","2008","Total","Both Sexes","87","Census - de jure - complete tabulation","Final figure, complete","2014","23674.9860196232","3"
"860","Algeria","2008","Total","Both Sexes","88","Census - de jure - complete tabulation","Final figure, complete","2014","13231.48502705","3"
"861","Algeria","2008","Total","Both Sexes","89","Census - de jure - complete tabulation","Final figure, complete","2014","11543.0492012664","3"
"862","Algeria","2008","Total","Both Sexes","90","Census - de jure - complete tabulation","Final figure, complete","2014","8826.28636545987","3"
"864","Algeria","2008","Total","Both Sexes","91","Census - de jure - complete tabulation","Final figure, complete","2014","6660.62221991906","3"
"865","Algeria","2008","Total","Both Sexes","92","Census - de jure - complete tabulation","Final figure, complete","2014","5618.04614526343","3"
"866","Algeria","2008","Total","Both Sexes","93","Census - de jure - complete tabulation","Final figure, complete","2014","4666.21732177672","3"
"867","Algeria","2008","Total","Both Sexes","94","Census - de jure - complete tabulation","Final figure, complete","2014","3900.41946580106","3"
"868","Algeria","2008","Total","Both Sexes","95","Census - de jure - complete tabulation","Final figure, complete","2014","3508.9420596676","3"
"870","Algeria","2008","Total","Both Sexes","96","Census - de jure - complete tabulation","Final figure, complete","2014","2149.90795195228","3"
"871","Algeria","2008","Total","Both Sexes","97","Census - de jure - complete tabulation","Final figure, complete","2014","2277.30922417042","3"
"872","Algeria","2008","Total","Both Sexes","98","Census - de jure - complete tabulation","Final figure, complete","2014","1038.97699928896","3"
"873","Algeria","2008","Total","Both Sexes","99","Census - de jure - complete tabulation","Final figure, complete","2014","1053.05485374243","3"
"85595","Andorra","2016","Total","Both Sexes","0","Estimate - de jure","Final figure, complete","2017","516","1"
"85596","Andorra","2016","Total","Both Sexes","0","Estimate - de jure","Final figure, complete","2016","190","1"
"85599","Andorra","2016","Total","Both Sexes","1","Estimate - de jure","Final figure, complete","2017","576","1"
"85600","Andorra","2016","Total","Both Sexes","1","Estimate - de jure","Final figure, complete","2016","570","1"
"85603","Andorra","2016","Total","Both Sexes","2","Estimate - de jure","Final figure, complete","2016","587","1"
"85604","Andorra","2016","Total","Both Sexes","2","Estimate - de jure","Final figure, complete","2017","613","1"
"85605","Andorra","2016","Total","Both Sexes","3","Estimate - de jure","Final figure, complete","2017","720","1"
"85606","Andorra","2016","Total","Both Sexes","3","Estimate - de jure","Final figure, complete","2016","626","1"
"85607","Andorra","2016","Total","Both Sexes","4","Estimate - de jure","Final figure, complete","2017","762","1"
"85608","Andorra","2016","Total","Both Sexes","4","Estimate - de jure","Final figure, complete","2016","727","1"
"85609","Andorra","2016","Total","Both Sexes","5","Estimate - de jure","Final figure, complete","2016","760","1"
"85610","Andorra","2016","Total","Both Sexes","5","Estimate - de jure","Final figure, complete","2017","765","1"
"85613","Andorra","2016","Total","Both Sexes","6","Estimate - de jure","Final figure, complete","2017","782","1"
"85614","Andorra","2016","Total","Both Sexes","6","Estimate - de jure","Final figure, complete","2016","769","1"
"85615","Andorra","2016","Total","Both Sexes","7","Estimate - de jure","Final figure, complete","2017","861","1"
"85616","Andorra","2016","Total","Both Sexes","7","Estimate - de jure","Final figure, complete","2016","786","1"
"85617","Andorra","2016","Total","Both Sexes","8","Estimate - de jure","Final figure, complete","2016","864","1"
"85618","Andorra","2016","Total","Both Sexes","8","Estimate - de jure","Final figure, complete","2017","749","1"
"85619","Andorra","2016","Total","Both Sexes","9","Estimate - de jure","Final figure, complete","2017","761","1"
"85620","Andorra","2016","Total","Both Sexes","9","Estimate - de jure","Final figure, complete","2016","749","1"
"85621","Andorra","2016","Total","Both Sexes","10","Estimate - de jure","Final figure, complete","2016","769","1"
"85622","Andorra","2016","Total","Both Sexes","10","Estimate - de jure","Final figure, complete","2017","777","1"
"85625","Andorra","2016","Total","Both Sexes","11","Estimate - de jure","Final figure, complete","2017","758","1"
"85626","Andorra","2016","Total","Both Sexes","11","Estimate - de jure","Final figure, complete","2016","773","1"
"85627","Andorra","2016","Total","Both Sexes","12","Estimate - de jure","Final figure, complete","2016","757","1"
"85628","Andorra","2016","Total","Both Sexes","12","Estimate - de jure","Final figure, complete","2017","757","1"
"85629","Andorra","2016","Total","Both Sexes","13","Estimate - de jure","Final figure, complete","2017","757","1"
"85630","Andorra","2016","Total","Both Sexes","13","Estimate - de jure","Final figure, complete","2016","759","1"
"85631","Andorra","2016","Total","Both Sexes","14","Estimate - de jure","Final figure, complete","2017","764","1"
"85632","Andorra","2016","Total","Both Sexes","14","Estimate - de jure","Final figure, complete","2016","758","1"
"85633","Andorra","2016","Total","Both Sexes","15","Estimate - de jure","Final figure, complete","2016","762","1"
"85634","Andorra","2016","Total","Both Sexes","15","Estimate - de jure","Final figure, complete","2017","789","1"
"85637","Andorra","2016","Total","Both Sexes","16","Estimate - de jure","Final figure, complete","2016","793","1"
"85638","Andorra","2016","Total","Both Sexes","16","Estimate - de jure","Final figure, complete","2017","850","1"
"85639","Andorra","2016","Total","Both Sexes","17","Estimate - de jure","Final figure, complete","2017","774","1"
"85640","Andorra","2016","Total","Both Sexes","17","Estimate - de jure","Final figure, complete","2016","860","1"
"85641","Andorra","2016","Total","Both Sexes","18","Estimate - de jure","Final figure, complete","2016","783","1"
"85642","Andorra","2016","Total","Both Sexes","18","Estimate - de jure","Final figure, complete","2017","793","1"
"85643","Andorra","2016","Total","Both Sexes","19","Estimate - de jure","Final figure, complete","2017","702","1"
"85644","Andorra","2016","Total","Both Sexes","19","Estimate - de jure","Final figure, complete","2016","795","1"
"85645","Andorra","2016","Total","Both Sexes","20","Estimate - de jure","Final figure, complete","2016","695","1"
"85646","Andorra","2016","Total","Both Sexes","20","Estimate - de jure","Final figure, complete","2017","711","1"
"85649","Andorra","2016","Total","Both Sexes","21","Estimate - de jure","Final figure, complete","2016","712","1"
"85650","Andorra","2016","Total","Both Sexes","21","Estimate - de jure","Final figure, complete","2017","690","1"
"85651","Andorra","2016","Total","Both Sexes","22","Estimate - de jure","Final figure, complete","2016","699","1"
"85652","Andorra","2016","Total","Both Sexes","22","Estimate - de jure","Final figure, complete","2017","727","1"
"85653","Andorra","2016","Total","Both Sexes","23","Estimate - de jure","Final figure, complete","2017","773","1"
"85654","Andorra","2016","Total","Both Sexes","23","Estimate - de jure","Final figure, complete","2016","732","1"
"85655","Andorra","2016","Total","Both Sexes","24","Estimate - de jure","Final figure, complete","2016","785","1"
"85656","Andorra","2016","Total","Both Sexes","24","Estimate - de jure","Final figure, complete","2017","741","1"
"85657","Andorra","2016","Total","Both Sexes","25","Estimate - de jure","Final figure, complete","2016","761","1"
"85658","Andorra","2016","Total","Both Sexes","25","Estimate - de jure","Final figure, complete","2017","769","1"
"85661","Andorra","2016","Total","Both Sexes","26","Estimate - de jure","Final figure, complete","2017","819","1"
"85662","Andorra","2016","Total","Both Sexes","26","Estimate - de jure","Final figure, complete","2016","782","1"
"85663","Andorra","2016","Total","Both Sexes","27","Estimate - de jure","Final figure, complete","2016","833","1"
"85664","Andorra","2016","Total","Both Sexes","27","Estimate - de jure","Final figure, complete","2017","812","1"
"85665","Andorra","2016","Total","Both Sexes","28","Estimate - de jure","Final figure, complete","2017","824","1"
"85666","Andorra","2016","Total","Both Sexes","28","Estimate - de jure","Final figure, complete","2016","829","1"
